%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
1985 6 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.00000 76.00 7.30 99.23 0.00 0.00 -999.00 287.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 1.00
1985 6 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.70000 77.00 6.90 99.23 0.00 0.00 -999.00 283.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 358.00
1985 6 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.80000 81.00 5.80 99.23 0.00 0.00 -999.00 273.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 349.00
1985 6 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.20000 84.00 5.20 99.23 0.00 0.00 -999.00 262.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 348.00
1985 6 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.50000 86.00 4.90 99.23 0.00 0.00 -999.00 265.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 353.00
1985 6 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.60000 87.00 4.40 99.23 0.00 0.00 -999.00 253.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 357.00
1985 6 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.60000 88.00 4.50 99.23 0.00 0.00 -999.00 252.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 2.00
1985 6 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.70000 89.00 4.40 99.23 0.00 0.00 -999.00 262.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 6.00
1985 6 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.10000 90.00 4.90 99.23 0.00 74.00 -999.00 264.00 -999.00 -999.00 -999.00 -999.00 27.00 242.00 7.00
1985 6 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.20000 89.00 5.70 99.23 0.00 198.00 -999.00 267.00 -999.00 -999.00 -999.00 -999.00 57.00 569.00 11.00
1985 6 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 79.00 9.00 99.23 0.00 311.00 -999.00 265.00 -999.00 -999.00 -999.00 -999.00 75.00 680.00 358.00
1985 6 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.20000 76.00 9.60 99.23 0.00 394.00 -999.00 274.00 -999.00 -999.00 -999.00 -999.00 81.00 756.00 350.00
1985 6 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.70000 75.00 10.00 99.23 0.00 425.00 -999.00 264.00 -999.00 -999.00 -999.00 -999.00 82.00 791.00 317.00
1985 6 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.70000 74.00 10.20 99.23 0.00 385.00 -999.00 262.00 -999.00 -999.00 -999.00 -999.00 93.00 713.00 255.00
1985 6 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.00000 71.00 10.60 99.23 0.00 296.00 -999.00 279.00 -999.00 -999.00 -999.00 -999.00 86.00 620.00 219.00
